Instante,Pedidos Em Espera,Pedido Em Produção,Pedidos Prontos
0,0,0,0
1,0,0,0
2,10,1,0
3,17,1,0
4,28,1,0
5,40,1,0
6,50,1,0
7,57,1,0
8,66,1,0
9,80,1,0
10,97,1,0
11,103,1,0
12,110,1,0
13,119,1,0
14,130,1,0
15,136,1,0
16,148,1,0
17,157,1,0
18,167,1,0
19,178,1,0
20,187,1,0
21,198,1,0
22,207,1,0
23,218,1,0
24,228,1,0
25,240,1,0
26,248,0,1
27,256,1,1
28,263,1,1
29,276,1,1
30,286,1,1
31,296,1,1
32,310,1,1
33,321,1,1
34,334,1,1
35,343,1,1
36,350,1,1
37,360,1,1
38,368,1,1
39,377,1,1
40,384,1,1
41,394,1,1
42,403,1,1
43,415,1,1
44,427,1,1
45,440,1,1
46,454,0,2
47,464,1,2
48,474,1,2
49,484,1,2
50,497,1,2
51,509,1,2
52,520,1,2
53,532,1,2
54,543,1,2
55,553,1,2
56,563,1,2
57,570,1,2
58,580,1,2
59,588,0,3
60,593,1,3
61,609,1,3
62,627,1,3
63,636,1,3
64,648,1,3
65,656,1,3
66,666,1,3
67,674,1,3
68,686,1,3
69,697,1,3
70,702,1,3
71,713,1,3
72,720,1,3
73,728,1,3
74,738,1,3
75,744,0,4
76,756,1,4
77,769,1,4
78,774,1,4
79,787,1,4
80,799,1,4
81,807,1,4
82,820,1,4
83,828,1,4
84,838,1,4
85,850,1,4
86,860,1,4
87,864,1,4
88,876,1,4
89,889,1,4
90,897,1,4
91,907,1,4
92,916,1,4
93,923,1,4
94,933,1,4
95,936,1,4
96,947,1,4
97,954,1,4
98,962,1,4
99,975,0,5
100,983,1,5
101,994,1,5
102,994,1,5
103,994,1,5
104,994,1,5
105,994,1,5
106,994,1,5
107,994,1,5
108,994,1,5
109,994,1,5
110,994,1,5
111,994,1,5
112,994,1,5
113,994,1,5
114,994,1,5
115,994,1,5
116,994,1,5
117,994,1,5
118,994,1,5
119,994,1,5
120,994,1,5
121,994,1,5
122,994,1,5
123,994,0,6
124,993,1,6
125,993,1,6
126,993,1,6
127,993,1,6
128,993,1,6
129,993,1,6
130,993,1,6
131,993,1,6
132,993,1,6
133,993,0,7
134,992,1,7
135,992,1,7
136,992,1,7
137,992,1,7
138,992,1,7
139,992,1,7
140,992,1,7
141,992,1,7
142,992,1,7
143,992,1,7
144,992,1,7
145,992,1,7
146,992,1,7
147,992,1,7
148,992,1,7
149,992,1,7
150,992,1,7
151,992,1,7
152,992,1,7
153,992,1,7
154,992,0,8
155,991,1,8
156,991,1,8
157,991,1,8
158,991,1,8
159,991,1,8
160,991,1,8
161,991,1,8
162,991,1,8
163,991,1,8
164,991,1,8
165,991,1,8
166,991,1,8
167,991,1,8
168,991,1,8
169,991,1,8
170,991,1,8
171,991,1,8
172,991,1,8
173,991,1,8
174,991,1,8
175,991,1,8
176,991,0,9
177,990,1,9
178,990,1,9
179,990,1,9
180,990,1,9
181,990,1,9
182,990,1,9
183,990,1,9
184,990,1,9
185,990,1,9
186,990,1,9
187,990,1,9
188,990,1,9
189,990,1,9
190,990,1,9
191,990,1,9
192,990,1,9
193,990,0,10
194,989,1,10
195,989,1,10
196,989,1,10
197,989,1,10
198,989,1,10
199,989,1,10
200,989,1,10
201,989,1,10
202,989,1,10
203,989,1,10
204,989,1,10
205,989,1,10
206,989,1,10
207,989,1,10
208,989,1,10
209,989,0,11
210,988,1,11
211,988,1,11
212,988,1,11
213,988,1,11
214,988,1,11
215,988,1,11
216,988,1,11
217,988,1,11
218,988,1,11
219,988,1,11
220,988,1,11
221,988,1,11
222,988,1,11
223,988,1,11
224,988,1,11
225,988,1,11
226,988,1,11
227,988,0,12
228,987,1,12
229,987,1,12
230,987,1,12
